speaker,record_date,year,month,GroupCount,mean,CI_1,CI_2,median,plot_date
Dennis Geoffrey Jensen,29-Nov-2006,2006,11,23,-7.862,-9.307,-6.594,-7.529,29-Nov-2006
Tony John Abbott,10-Feb-2013,2013,2,13,-7.973,-11.644,-6.792,-6.926,10-Feb-2013
Tony John Abbott,06-Mar-2014,2014,3,78,-6.817,-7.426,-6.201,-6.856,06-Mar-2014
Tony John Abbott,05-Jan-2010,2010,1,20,-6.318,-7.544,-4.958,-6.582,05-Jan-2010
Scott John Morrison,12-Sep-2011,2011,9,20,-5.893,-7.341,-4.33,-6.429,12-Sep-2011
Tony John Abbott,16-Jun-2010,2010,6,8,-6.204,-8.154,-4.308,-6.398,16-Jun-2010
Tony John Abbott,13-Jul-2014,2014,7,120,-6.373,-6.835,-5.937,-6.197,13-Jul-2014
Tony John Abbott,01-Mar-2011,2011,3,73,-5.665,-6.243,-5.032,-5.718,01-Mar-2011
Scott John Morrison,17-Dec-2018,2018,12,33,-5.535,-6.498,-4.738,-5.675,17-Dec-2018
Tony John Abbott,09-Oct-2015,2015,10,92,-5.533,-6.146,-5.054,-5.629,09-Oct-2015
Malcolm Bligh Turnbull,08-Jul-2018,2018,7,6,-6.098,-8.481,-4.277,-5.575,08-Jul-2018
Tony John Abbott,12-Sep-2011,2011,9,199,-5.73,-6.113,-5.332,-5.508,12-Sep-2011
Scott John Morrison,23-May-2009,2009,5,16,-5.36,-6.365,-4.272,-5.46,23-May-2009
Tony John Abbott,19-Nov-2014,2014,11,39,-5.852,-6.705,-5.222,-5.349,19-Nov-2014
Scott John Morrison,09-Oct-2015,2015,10,23,-5.334,-6.45,-4.349,-5.284,09-Oct-2015
Tony John Abbott,27-Oct-2013,2013,10,43,-5.116,-5.959,-4.35,-5.251,27-Oct-2013
Scott John Morrison,08-Jul-2018,2018,7,8,-5.35,-6.714,-3.878,-5.194,08-Jul-2018
Tony John Abbott,04-Oct-2012,2012,10,66,-5.257,-5.783,-4.681,-5.194,04-Oct-2012
Julia Eileen Gillard,10-Feb-2013,2013,2,20,-4.66,-5.582,-3.54,-5.11,10-Feb-2013
Malcolm Bligh Turnbull,18-Aug-2017,2017,8,33,-5.073,-5.669,-4.346,-5.108,18-Aug-2017
Tony John Abbott,20-Jun-2013,2013,6,32,-5.615,-6.867,-4.562,-4.992,20-Jun-2013
Tony John Abbott,23-Oct-2010,2010,10,20,-4.871,-5.693,-3.939,-4.838,23-Oct-2010
Scott John Morrison,18-Aug-2017,2017,8,17,-4.642,-5.591,-3.675,-4.695,18-Aug-2017
Scott John Morrison,25-Apr-2019,2019,4,12,-4.741,-6.275,-3.187,-4.482,25-Apr-2019
Scott John Morrison,24-Feb-2022,2022,2,5,-3.768,-5.873,-0.497,-4.255,24-Feb-2022
Tony John Abbott,25-Apr-2012,2012,4,115,-4.447,-4.895,-4.085,-4.239,25-Apr-2012
John Winston Howard,29-Nov-2006,2006,11,90,-4.358,-4.852,-3.857,-4.183,29-Nov-2006
Malcolm Bligh Turnbull,10-Mar-2017,2017,3,12,-4.14,-5.549,-2.857,-4.174,10-Mar-2017
Malcolm Bligh Turnbull,23-May-2009,2009,5,62,-4.146,-4.822,-3.444,-3.888,23-May-2009
John Winston Howard,15-Aug-2007,2007,8,51,-3.744,-4.53,-2.791,-3.883,15-Aug-2007
Julia Eileen Gillard,29-Nov-2006,2006,11,5,-3.382,-4.664,-1.277,-3.838,29-Nov-2006
Julia Eileen Gillard,04-Oct-2012,2012,10,143,-3.66,-4.059,-3.284,-3.743,04-Oct-2012
Anthony Norman Albanese,04-Oct-2012,2012,10,10,-3.328,-4.412,-2.338,-3.447,04-Oct-2012
Julia Eileen Gillard,20-Jun-2013,2013,6,85,-3.037,-3.516,-2.544,-3.419,20-Jun-2013
Anthony Norman Albanese,25-Apr-2012,2012,4,26,-3.071,-4.232,-2.067,-3.306,25-Apr-2012
Scott John Morrison,06-Sep-2008,2008,9,13,-3.391,-5.024,-1.602,-3.249,06-Sep-2008
Kevin Michael Rudd,16-Jun-2010,2010,6,20,-3.168,-4.12,-2.38,-3.248,16-Jun-2010
Malcolm Bligh Turnbull,09-Oct-2015,2015,10,38,-3.351,-4.002,-2.697,-3.244,09-Oct-2015
Scott John Morrison,05-Jan-2010,2010,1,8,-3.145,-4.314,-2.027,-3.13,05-Jan-2010
Anthony Norman Albanese,23-May-2009,2009,5,17,-2.99,-3.914,-2.146,-3.071,23-May-2009
Julia Eileen Gillard,05-Jan-2010,2010,1,17,-2.876,-4.253,-1.344,-3.071,05-Jan-2010
Scott John Morrison,04-Oct-2019,2019,10,33,-3.242,-3.949,-2.501,-3.045,04-Oct-2019
Malcolm Bligh Turnbull,29-Nov-2006,2006,11,91,-2.911,-3.558,-2.082,-3.004,29-Nov-2006
Julia Eileen Gillard,01-Mar-2011,2011,3,197,-3.081,-3.487,-2.658,-2.979,01-Mar-2011
Julia Eileen Gillard,25-Apr-2012,2012,4,181,-2.949,-3.326,-2.582,-2.837,25-Apr-2012
Anthony Norman Albanese,12-Sep-2011,2011,9,73,-2.16,-2.779,-1.462,-2.787,12-Sep-2011
Malcolm Bligh Turnbull,06-Sep-2008,2008,9,11,-1.705,-3.106,0.286,-2.745,06-Sep-2008
Malcolm Bligh Turnbull,29-Sep-2016,2016,9,7,-3.01,-4.813,-2.142,-2.711,29-Sep-2016
Julia Eileen Gillard,23-Oct-2010,2010,10,74,-2.872,-3.412,-2.357,-2.689,23-Oct-2010
Julia Eileen Gillard,12-Sep-2011,2011,9,366,-2.627,-2.898,-2.357,-2.672,12-Sep-2011
Anthony Norman Albanese,25-Feb-2008,2008,2,5,-2.867,-5.067,-0.924,-2.612,25-Feb-2008
Kevin Michael Rudd,25-Apr-2012,2012,4,5,-2.397,-2.83,-1.703,-2.566,25-Apr-2012
Scott John Morrison,13-Aug-2021,2021,8,94,-2.338,-2.879,-1.766,-2.536,13-Aug-2021
Kevin Michael Rudd,23-May-2009,2009,5,200,-2.49,-2.857,-2.138,-2.386,23-May-2009
Anthony Norman Albanese,01-Mar-2011,2011,3,24,-2.321,-3.205,-1.424,-2.297,01-Mar-2011
Anthony Norman Albanese,06-Sep-2008,2008,9,19,-1.756,-3.163,-0.213,-2.201,06-Sep-2008
Kevin Michael Rudd,05-Jan-2010,2010,1,194,-2.085,-2.466,-1.718,-2.144,05-Jan-2010
Scott John Morrison,15-Apr-2020,2020,4,42,-2.204,-3.039,-1.335,-2.036,15-Apr-2020
Scott John Morrison,28-Nov-2020,2020,11,25,-2.265,-3.684,-1.003,-2.024,28-Nov-2020
Anthony Norman Albanese,13-Jul-2014,2014,7,6,-2.105,-2.789,-1.472,-1.961,13-Jul-2014
Julia Eileen Gillard,06-Sep-2008,2008,9,9,-0.737,-2.257,1.35,-1.934,06-Sep-2008
Malcolm Bligh Turnbull,05-Jan-2010,2010,1,50,-2.075,-2.83,-1.31,-1.92,05-Jan-2010
Anthony Norman Albanese,29-Nov-2006,2006,11,139,-1.764,-2.188,-1.302,-1.879,29-Nov-2006
Malcolm Bligh Turnbull,15-Aug-2007,2007,8,86,-1.86,-2.544,-1.218,-1.879,15-Aug-2007
Anthony Norman Albanese,20-Jun-2013,2013,6,16,-1.95,-2.695,-1.156,-1.714,20-Jun-2013
Kevin Michael Rudd,06-Sep-2008,2008,9,154,-1.516,-1.945,-1.039,-1.709,06-Sep-2008
Anthony Norman Albanese,27-Oct-2013,2013,10,17,-1.46,-2.709,-0.152,-1.482,27-Oct-2013
Anthony Norman Albanese,05-Jan-2010,2010,1,19,-1.973,-3.5,-0.644,-1.477,05-Jan-2010
Anthony Norman Albanese,08-Jul-2018,2018,7,10,-1.134,-2.369,0.56,-1.445,08-Jul-2018
Anthony Norman Albanese,04-Oct-2019,2019,10,53,-1.55,-2.263,-0.763,-1.297,04-Oct-2019
Malcolm Bligh Turnbull,16-Jun-2010,2010,6,6,-1.036,-2.246,0.318,-1.193,16-Jun-2010
Anthony Norman Albanese,09-Oct-2015,2015,10,22,-0.538,-1.599,0.848,-1.123,09-Oct-2015
Peter Robert Garrett,15-Aug-2007,2007,8,155,-1.231,-1.724,-0.807,-1.112,15-Aug-2007
Anthony Norman Albanese,15-Apr-2020,2020,4,14,-0.89,-1.655,-0.007,-0.918,15-Apr-2020
Anthony Norman Albanese,04-May-2006,2006,5,69,-0.817,-1.443,-0.19,-0.915,04-May-2006
Kevin Michael Rudd,23-Oct-2010,2010,10,5,-0.883,-1.762,-0.187,-0.732,23-Oct-2010
Julia Eileen Gillard,23-May-2009,2009,5,6,0.038,-2.544,3.908,-0.613,23-May-2009
Kevin Michael Rudd,15-Aug-2007,2007,8,44,-0.708,-1.534,0.026,-0.598,15-Aug-2007
Kevin Michael Rudd,29-Nov-2006,2006,11,32,-0.113,-0.873,0.662,-0.424,29-Nov-2006
Anthony Norman Albanese,13-Aug-2021,2021,8,48,0.163,-0.629,1.03,-0.199,13-Aug-2021
Anthony Norman Albanese,15-Aug-2007,2007,8,46,-0.442,-1.113,0.2,-0.172,15-Aug-2007
Peter Robert Garrett,29-Nov-2006,2006,11,75,-0.775,-1.515,-0.197,-0.125,29-Nov-2006
Anthony Norman Albanese,23-Oct-2010,2010,10,11,-0.306,-1.653,0.655,0.19,23-Oct-2010
Kevin Michael Rudd,25-Feb-2008,2008,2,31,-0.084,-1.498,1.021,0.387,25-Feb-2008
Anthony Norman Albanese,29-Sep-2016,2016,9,14,0,-2.22,1.617,0.439,29-Sep-2016
Anthony Norman Albanese,18-Aug-2017,2017,8,10,1.439,-0.106,3.428,0.896,18-Aug-2017
Anthony Norman Albanese,03-Apr-2023,2023,4,28,1.583,0.469,2.677,1.079,03-Apr-2023
Anthony Norman Albanese,06-Sep-2022,2022,9,48,1.607,0.783,2.525,1.126,06-Sep-2022
Anthony Norman Albanese,28-Nov-2020,2020,11,11,2.606,1.59,4.134,2.26,28-Nov-2020
